BugId,Fichier,Version
HIVE-27439,TypeInfoUtils.java,3.1.3
HIVE-27439,TestTypeInfoUtils.java,3.1.3
HIVE-27374,KafkaDagCredentialSupplier.java,4.0.0
HIVE-27374,KafkaUtils.java,4.0.0
HIVE-27374,KafkaBrokerResource.java,4.0.0
HIVE-27374,KafkaDagCredentialSupplierTest.java,4.0.0
HIVE-27374,KafkaUtilsTest.java,4.0.0
HIVE-27344,RecordReaderImpl.java,3.1.3
HIVE-27344,RecordReaderImpl.java,4.0.0
HIVE-27449,KafkaRecordIteratorTest.java,4.0.0
HIVE-27293,Decimal64ColumnVector.java,4.0.0
HIVE-27337,TestAcidTableSetup.java,4.0.0
HIVE-27337,TestReplicationScenariosAcidTables.java,4.0.0
HIVE-27337,HMSHandler.java,4.0.0
HIVE-27337,HiveAlterHandler.java,4.0.0
HIVE-27268,Context.java,3.1.3
HIVE-27268,Hive.java,3.1.3
HIVE-27268,TestTxnNoBuckets.java,3.1.3
HIVE-26779,GenTezUtils.java,4.0.0
HIVE-27289,MetaStoreServerUtils.java,4.0.0
HIVE-27157,HiveToUnixTimestampSqlOperator.java,4.0.0
HIVE-27157,HiveUnixTimestampSqlOperator.java,4.0.0
HIVE-27157,TestSqlOperatorInferReturnType.java,4.0.0
HIVE-27140,MetastoreConf.java,2.3.8
HIVE-27140,MetastoreConf.java,3.1.2
HIVE-27065,DirectSqlUpdateStat.java,4.0.0
HIVE-22173,HiveConf.java,3.1.1
HIVE-22173,HiveConf.java,4.0.0
HIVE-22173,TestHiveConfVarsValidate.java,3.1.1
HIVE-22173,TestHiveConfVarsValidate.java,4.0.0
HIVE-22173,ExplainTask.java,3.1.1
HIVE-22173,ExplainTask.java,4.0.0
HIVE-22173,PreOrderOnceWalker.java,3.1.1
HIVE-22173,PreOrderOnceWalker.java,4.0.0
HIVE-22173,SyntheticJoinPredicate.java,3.1.1
HIVE-22173,SyntheticJoinPredicate.java,4.0.0
HIVE-22173,TestExplainTask.java,3.1.1
HIVE-22173,TestExplainTask.java,4.0.0
HIVE-24404,Hive.java,2.3.7
HIVE-24404,Hive.java,3.1.3
HIVE-24404,Hive.java,4.0.0
HIVE-26658,ETypeConverter.java,4.0.0
HIVE-26658,TestETypeConverter.java,4.0.0
HIVE-26759,TxnQueries.java,4.0.0
HIVE-26722,HiveFilterSetOpTransposeRule.java,4.0.0
HIVE-26522,TestTokenStoreDelegationTokenSecretManager.java,2.3.8
HIVE-26522,TestTokenStoreDelegationTokenSecretManager.java,3.1.3
HIVE-26667,SerializationUtilities.java,4.0.0
HIVE-26667,PartitionExpressionForMetastore.java,4.0.0
HIVE-26667,TestMetastoreExpr.java,4.0.0
HIVE-26472,Driver.java,4.0.0
HIVE-26472,DbTxnManager.java,4.0.0
HIVE-26472,HiveTxnManager.java,4.0.0
HIVE-26472,HiveTxnManagerImpl.java,4.0.0
HIVE-26472,hive_metastore_types.cpp,4.0.0
HIVE-26472,hive_metastore_types.h,4.0.0
HIVE-26472,AllocateTableWriteIdsRequest.java,4.0.0
HIVE-26472,HiveMetaStoreClient.java,4.0.0
HIVE-26472,IMetaStoreClient.java,4.0.0
HIVE-26472,TxnHandler.java,4.0.0
HIVE-26472,HiveMetaStoreClientPreCatalog.java,4.0.0
HIVE-26382,MoveTask.java,4.0.0
HIVE-26382,TaskCompiler.java,4.0.0
HIVE-25777,AcidUtils.java,3.1.2
HIVE-25777,AcidUtils.java,4.0.0
HIVE-25777,TestCleaner.java,3.1.2
HIVE-25777,TestCleaner.java,4.0.0
HIVE-22247,HiveHFileOutputFormat.java,2.2.0
HIVE-22247,HiveHFileOutputFormat.java,3.0.0
HIVE-21052,HiveConf.java,3.0.0
HIVE-21052,HiveConf.java,3.1.1
HIVE-21052,TestCompactor.java,3.0.0
HIVE-21052,TestCompactor.java,3.1.1
HIVE-21052,DriverTxnHandler.java,3.0.0
