Version,CommitId,Fichier,ContientBogue,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,CommitsChanged,CommitsBeforeVersion
2.0.0,7f9f1fcb8697fb33f0edc2c391930a3728d247d7,AMReporter.java,False,12,0,11,1,2,,,,9.0,0.0,1.0,34,34.0,31.0,34,10.0,0.0,3.0,21,,525,60,412,152.0,213,53,,195,268.0,135.0,155,7,,3,,0.0,13,1,0
2.0.0,7f9f1fcb8697fb33f0edc2c391930a3728d247d7,ASTBuilder.java,False,16,1,15,1,5,,,,1.0,14.0,0.0,18,4.0,1.0,18,0.0,0.0,0.0,18,,351,32,292,64.0,214,27,,133,165.0,60.0,120,64,,2,,0.0,9,1,0
2.0.0,7f9f1fcb8697fb33f0edc2c391930a3728d247d7,ASTConverter.java,False,18,1,15,2,4,,,,7.0,2.0,2.0,38,36.0,24.0,38,11.0,9.0,2.0,16,,870,99,673,242.0,412,98,,354,524.0,249.0,345,21,,5,,0.0,15,1,0
2.0.0,7f9f1fcb8697fb33f0edc2c391930a3728d247d7,ASTErrorNode.java,False,2,0,2,0,1,,,,1.0,0.0,1.0,5,5.0,1.0,5,0.0,0.0,0.0,5,,49,8,21,18.0,6,20,,12,18.0,13.0,5,1,,0,,0.0,95,1,0
2.0.0,7f9f1fcb8697fb33f0edc2c391930a3728d247d7,ASTNode.java,False,10,1,8,1,2,,,,1.0,0.0,1.0,26,26.0,7.0,26,0.0,8.0,0.0,18,,349,52,240,75.0,133,57,,123,178.0,67.0,129,11,,4,,0.0,24,1,0
2.0.0,7f9f1fcb8697fb33f0edc2c391930a3728d247d7,ASTNodeOrigin.java,False,7,0,4,3,1,,,,1.0,0.0,0.0,6,6.0,5.0,6,0.0,0.0,0.0,6,,95,9,31,14.0,10,55,,16,23.0,13.0,10,1,,0,,1.0,77,1,0
2.0.0,7f9f1fcb8697fb33f0edc2c391930a3728d247d7,ATSHook.java,False,20,1,17,2,2,,,,10.0,1.0,11.0,15,24.0,28.0,25,3.0,4.0,2.0,16,,488,46,397,153.0,269,54,,226,287.0,138.0,201,10,,3,,0.0,14,1,0
2.0.0,7f9f1fcb8697fb33f0edc2c391930a3728d247d7,AbortDroneException.java,False,3,0,3,0,1,,,,1.0,0.0,1.0,2,2.0,0.0,2,0.0,0.0,0.0,2,,29,1,10,5.0,3,18,,4,7.0,5.0,2,1,,0,,1.0,80,1,0
2.0.0,7f9f1fcb8697fb33f0edc2c391930a3728d247d7,AbortTxnRequest.java,False,7,0,6,1,2,,,,6.0,3.0,6.0,36,35.0,5.0,38,1.0,2.0,0.0,35,,387,64,297,104.0,144,29,,139,207.0,91.0,124,5,,3,,0.0,10,1,0
2.0.0,7f9f1fcb8697fb33f0edc2c391930a3728d247d7,AbortTxnsDesc.java,False,5,0,3,2,1,,,,1.0,0.0,1.0,2,2.0,1.0,2,0.0,0.0,0.0,2,,36,0,13,8.0,3,23,,7,10.0,8.0,2,1,,0,,1.0,77,1,0
2.0.0,7f9f1fcb8697fb33f0edc2c391930a3728d247d7,AbortTxnsRequest.java,False,8,0,7,0,2,,,,6.0,3.0,5.0,39,38.0,4.0,41,1.0,2.0,0.0,38,,438,67,346,110.0,164,28,,154,236.0,101.0,149,6,,4,,0.0,8,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AMReporter.java,False,11,0,11,0,2,,,,9.0,0.0,1.0,32,32.0,29.0,32,8.0,0.0,3.0,21,,475,56,379,145.0,197,40,,185,249.0,128.0,143,8,,3,,0.0,11,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,ASTBuilder.java,True,14,0,13,1,4,,,,1.0,14.0,0.0,18,4.0,1.0,18,18.0,0.0,0.0,0,,308,30,252,59.0,179,26,,123,153.0,55.0,112,42,,2,,0.0,10,1,0
