Version,CommitId,Fichier,ContientBogue,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,LinesAdded,LinesDeleted,CommitsChanged,BugFixingCommits,CommitsBeforeVersion,DevelopersChanged,DevelopersBeforeVersion,AverageTimeBetweenChanges,AverageDeveloperExpertise,MinimumDeveloperExpertise
2.0.0,7f9f1fcb8697fb33f0edc2c391930a3728d247d7,AMReporter.java,False,12,0,11,1,2,,,,9.0,0.0,1.0,34,34.0,31.0,34,10.0,0.0,3.0,21,,525,60,412,152.0,213,53,,195,268.0,135.0,155,7,,3,,0.0,13,163,193,42,14,98,5,3,4.164240111507741,38.142622262183124,22.14212916087154
2.0.0,7f9f1fcb8697fb33f0edc2c391930a3728d247d7,ASTBuilder.java,False,16,1,15,1,5,,,,1.0,14.0,0.0,18,4.0,1.0,18,0.0,0.0,0.0,18,,351,32,292,64.0,214,27,,133,165.0,60.0,120,64,,2,,0.0,9,785,164,26,5,3,1,9,6.812115707482544,20.99186004647334,14.632520905508631
2.0.0,7f9f1fcb8697fb33f0edc2c391930a3728d247d7,ASTConverter.java,False,18,1,15,2,4,,,,7.0,2.0,2.0,38,36.0,24.0,38,11.0,9.0,2.0,16,,870,99,673,242.0,412,98,,354,524.0,249.0,345,21,,5,,0.0,15,997,355,46,22,86,4,16,7.0873948035323915,42.23427765066214,33.72383478622618
2.0.0,7f9f1fcb8697fb33f0edc2c391930a3728d247d7,ASTErrorNode.java,False,2,0,2,0,1,,,,1.0,0.0,1.0,5,5.0,1.0,5,0.0,0.0,0.0,5,,49,8,21,18.0,6,20,,12,18.0,13.0,5,1,,0,,0.0,95,841,366,3,3,46,5,2,1.909791432634659,4.325296154886461,3.0962410260378315
2.0.0,7f9f1fcb8697fb33f0edc2c391930a3728d247d7,ASTNode.java,False,10,1,8,1,2,,,,1.0,0.0,1.0,26,26.0,7.0,26,0.0,8.0,0.0,18,,349,52,240,75.0,133,57,,123,178.0,67.0,129,11,,4,,0.0,24,322,401,28,15,91,9,5,6.784215478454062,10.698949715723005,6.620331862573888
2.0.0,7f9f1fcb8697fb33f0edc2c391930a3728d247d7,ASTNodeOrigin.java,False,7,0,4,3,1,,,,1.0,0.0,0.0,6,6.0,5.0,6,0.0,0.0,0.0,6,,95,9,31,14.0,10,55,,16,23.0,13.0,10,1,,0,,1.0,77,714,181,13,10,3,2,1,5.26434686201587,52.69322542835847,41.575106110397286
2.0.0,7f9f1fcb8697fb33f0edc2c391930a3728d247d7,ATSHook.java,False,20,1,17,2,2,,,,10.0,1.0,11.0,15,24.0,28.0,25,3.0,4.0,2.0,16,,488,46,397,153.0,269,54,,226,287.0,138.0,201,10,,3,,0.0,14,701,118,1,1,94,7,2,3.578703420596668,78.99145238599574,7.060374900675962
2.0.0,7f9f1fcb8697fb33f0edc2c391930a3728d247d7,AbortDroneException.java,False,3,0,3,0,1,,,,1.0,0.0,1.0,2,2.0,0.0,2,0.0,0.0,0.0,2,,29,1,10,5.0,3,18,,4,7.0,5.0,2,1,,0,,1.0,80,70,57,29,19,23,9,6,7.25756224949904,73.00552116137428,24.308537251039564
2.0.0,7f9f1fcb8697fb33f0edc2c391930a3728d247d7,AbortTxnRequest.java,False,7,0,6,1,2,,,,6.0,3.0,6.0,36,35.0,5.0,38,1.0,2.0,0.0,35,,387,64,297,104.0,144,29,,139,207.0,91.0,124,5,,3,,0.0,10,497,232,23,17,10,7,13,3.8202223058021856,49.33370746256303,34.69395201453618
2.0.0,7f9f1fcb8697fb33f0edc2c391930a3728d247d7,AbortTxnsDesc.java,False,5,0,3,2,1,,,,1.0,0.0,1.0,2,2.0,1.0,2,0.0,0.0,0.0,2,,36,0,13,8.0,3,23,,7,10.0,8.0,2,1,,0,,1.0,77,178,139,42,38,14,3,6,3.074172005994033,12.812178553707062,10.494333943300482
2.0.0,7f9f1fcb8697fb33f0edc2c391930a3728d247d7,AbortTxnsRequest.java,False,8,0,7,0,2,,,,6.0,3.0,5.0,39,38.0,4.0,41,1.0,2.0,0.0,38,,438,67,346,110.0,164,28,,154,236.0,101.0,149,6,,4,,0.0,8,489,388,50,38,45,1,2,2.3471140547619607,75.86546042265078,3.1380666778687023
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AMReporter.java,False,11,0,11,0,2,,,,9.0,0.0,1.0,32,32.0,29.0,32,8.0,0.0,3.0,21,,475,56,379,145.0,197,40,,185,249.0,128.0,143,8,,3,,0.0,11,526,407,4,1,51,4,3,9.314302355398103,60.14254301351447,18.809802441213083
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,ASTBuilder.java,True,14,0,13,1,4,,,,1.0,14.0,0.0,18,4.0,1.0,18,18.0,0.0,0.0,0,,308,30,252,59.0,179,26,,123,153.0,55.0,112,42,,2,,0.0,10,560,415,34,4,40,3,10,1.395311903250616,87.51632328396948,86.85285751519841
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,ASTConverter.java,False,18,1,15,2,4,,,,7.0,2.0,2.0,34,32.0,24.0,34,9.0,8.0,2.0,15,,775,99,591,222.0,357,85,,314,459.0,223.0,303,15,,5,,0.0,14,264,14,13,12,8,4,6,6.395126623287672,54.984942295513505,10.354892387595038
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,ASTErrorNode.java,False,2,0,2,0,1,,,,1.0,0.0,1.0,5,5.0,1.0,5,0.0,0.0,0.0,5,,49,8,21,18.0,6,20,,12,18.0,13.0,5,1,,0,,0.0,95,463,60,19,1,39,6,19,4.5921039903734915,75.05168111685704,13.836457139172703
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,ASTNode.java,False,10,1,8,1,2,,,,1.0,0.0,1.0,26,26.0,7.0,26,0.0,8.0,0.0,18,,350,53,240,75.0,133,57,,123,178.0,67.0,129,11,,4,,0.0,24,472,221,19,14,85,10,7,3.1779546726623638,97.89214912999192,95.96453110327677
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,ASTNodeOrigin.java,False,7,0,4,3,1,,,,1.0,0.0,0.0,6,6.0,5.0,6,0.0,0.0,0.0,6,,95,9,31,14.0,10,55,,16,23.0,13.0,10,1,,0,,1.0,77,995,104,32,31,79,3,4,8.135403413932117,91.34425478263495,46.4250823090145
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,ATSHook.java,False,15,1,14,2,1,,,,7.0,0.0,6.0,7,15.0,13.0,15,3.0,0.0,0.0,12,,227,27,178,69.0,118,36,,110,129.0,63.0,90,8,,2,,0.0,20,590,346,31,1,1,3,13,7.018862533103268,69.95597734370456,68.06802232805555
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbortDroneException.java,False,3,0,3,0,1,,,,1.0,0.0,1.0,2,2.0,0.0,2,0.0,0.0,0.0,2,,29,1,10,5.0,3,18,,4,7.0,5.0,2,1,,0,,1.0,80,536,116,29,29,86,6,19,8.227612194228943,83.83671712254798,55.96580234373534
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbortTxnRequest.java,False,7,0,6,1,2,,,,6.0,3.0,6.0,36,35.0,5.0,38,1.0,2.0,0.0,35,,387,64,297,104.0,144,29,,139,207.0,91.0,124,5,,3,,0.0,10,883,263,30,26,80,4,16,1.5132871271071529,1.826949343181807,1.241905292305883
