Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
File,"AMReporter.java",AMReporter.java,11,0,11,0,2,,,,,9,0,1,32,,,,32,32,29,,,,32,,,8,,0,3,21,,476,56,380,146,197,40,,,,186,250,129,,143,,8,,3,,,0,11,58
File,"ASTBuilder.java",ASTBuilder.java,12,0,11,0,3,,,,,1,14,0,18,,,,18,4,1,,,,18,,,18,,0,0,0,,276,29,223,60,154,24,,,,123,149,56,,108,,23,,2,,,0,11,46
File,"ASTConverter.java",ASTConverter.java,17,1,14,2,3,,,,,7,2,2,34,,,,34,32,24,,,,34,,,9,,8,2,15,,733,98,555,219,329,80,,,,294,432,220,,279,,14,,4,,,0,14,117
File,"ASTErrorNode.java",ASTErrorNode.java,2,0,2,0,1,,,,,1,0,1,5,,,,5,5,1,,,,5,,,0,,0,0,5,,49,8,21,18,6,20,,,,12,18,13,,5,,1,,0,,,0,95,5
File,"ASTNode.java",ASTNode.java,10,1,8,1,2,,,,,1,0,1,26,,,,26,26,7,,,,26,,,0,,8,0,18,,350,53,240,75,133,57,,,,123,178,67,,129,,11,,4,,,0,24,58
File,"ASTNodeOrigin.java",ASTNodeOrigin.java,7,0,4,3,1,,,,,1,0,0,6,,,,6,6,5,,,,6,,,0,,0,0,6,,95,9,31,14,10,55,,,,16,23,13,,10,,1,,0,,,1,77,6
File,"ATSHook.java",ATSHook.java,15,1,14,2,1,,,,,7,0,6,15,,,,7,15,13,,,,15,,,3,,0,0,12,,227,27,178,68,118,37,,,,109,128,62,,89,,8,,2,,,0,21,19
File,"AbortDroneException.java",AbortDroneException.java,3,0,3,0,1,,,,,1,0,1,2,,,,2,2,0,,,,2,,,0,,0,0,2,,29,1,10,5,3,18,,,,4,7,5,,2,,1,,0,,,1,80,2
File,"AbortTxnRequest.java",AbortTxnRequest.java,7,0,6,1,2,,,,,6,3,6,38,,,,36,35,5,,,,38,,,1,,2,0,35,,387,64,297,104,144,29,,,,139,207,91,,124,,5,,3,,,0,10,61
File,"AbstractBucketJoinProc.java",AbstractBucketJoinProc.java,38,3,32,3,7,,,,,1,2,0,11,,,,12,10,1,,,,12,,,0,,4,3,5,,515,52,395,155,236,69,,,,193,282,137,,205,,26,,6,,,0,17,75
File,"AbstractCommandHandler.java",AbstractCommandHandler.java,7,0,7,0,2,,,,,1,0,0,8,,,,8,8,6,,,,8,,,0,,0,0,8,,110,18,67,30,26,25,,,,31,46,24,,24,,5,,2,,,0,37,13
File,"AbstractCorrelationProcCtx.java",AbstractCorrelationProcCtx.java,4,0,4,0,1,,,,,1,0,0,8,,,,8,8,5,,,,8,,,0,,0,0,8,,80,14,44,23,12,22,,,,26,35,23,,12,,1,,0,,,0,50,8
File,"AbstractDeserializer.java",AbstractDeserializer.java,0,0,0,0,0,,,,,1,0,0,0,,,,4,4,0,,,,4,,,0,,0,0,4,,68,8,11,10,0,49,,,,9,10,10,,0,,0,,0,,,4,45,0
File,"AbstractEncodingAwareSerDe.java",AbstractEncodingAwareSerDe.java,8,0,8,0,2,,,,,1,0,1,3,,,,7,7,1,,,,7,,,0,,0,4,3,,87,12,43,27,11,32,,,,23,30,21,,11,,2,,1,,,0,74,6
File,"AbstractExpression.java",AbstractExpression.java,8,0,8,0,2,,,,,1,0,1,11,,,,12,12,2,,,,12,,,0,,0,10,2,,150,16,121,59,56,13,,,,82,105,58,,63,,3,,2,,,0,11,22
File,"AbstractFileMergeOperator.java",AbstractFileMergeOperator.java,21,1,16,4,3,,,,,1,0,2,10,,,,10,10,16,,,,10,,,0,,2,4,4,,284,21,197,66,116,66,,,,105,138,59,,92,,9,,5,,,0,34,31
File,"AbstractFilterStringColLikeStringScalar.java",AbstractFilterStringColLikeStringScalar.java,12,1,11,1,3,,,,,9,0,1,23,,,,26,26,14,,,,26,,,7,,1,1,17,,429,56,296,86,156,77,,,,139,217,92,,127,,24,,5,,,0,26,68
File,"AbstractGenericUDAFResolver.java",AbstractGenericUDAFResolver.java,9,1,8,0,2,,,,,1,0,0,2,,,,2,2,0,,,,2,,,0,,0,0,2,,56,6,23,12,6,27,,,,6,10,6,,4,,2,,1,,,1,17,3
File,"AbstractGenericUDFEWAHBitmapBop.java",AbstractGenericUDFEWAHBitmapBop.java,15,1,13,0,2,,,,,1,0,0,6,,,,7,7,3,,,,7,,,1,,0,3,3,,146,19,106,49,58,21,,,,59,75,46,,43,,4,,1,,,0,20,14
File,"AbstractGenericUDFReflect.java",AbstractGenericUDFReflect.java,15,0,14,1,3,,,,,1,0,0,4,,,,5,5,4,,,,5,,,3,,0,1,1,,108,11,71,25,37,26,,,,40,54,27,,29,,6,,3,,,0,37,13
File,"AbstractHBaseKeyFactory.java",AbstractHBaseKeyFactory.java,5,0,5,0,1,,,,,1,0,0,3,,,,3,3,3,,,,3,,,0,,0,0,3,,53,8,28,19,5,17,,,,17,21,16,,5,,1,,0,,,0,61,3
File,"AbstractHBaseKeyPredicateDecomposer.java",AbstractHBaseKeyPredicateDecomposer.java,16,2,12,3,2,,,,,1,0,1,2,,,,3,3,0,,,,3,,,0,,0,2,1,,80,10,38,19,18,32,,,,25,30,18,,16,,3,,2,,,0,84,4
File,"AbstractHiveAuthorizer.java",AbstractHiveAuthorizer.java,8,0,4,4,1,,,,,1,0,0,1,,,,1,1,0,,,,1,,,0,,0,0,1,,41,4,7,4,1,30,,,,2,4,3,,1,,1,,0,,,4,29,1
File,"AbstractHiveService.java",AbstractHiveService.java,6,0,4,2,1,,,,,1,0,0,17,,,,17,17,6,,,,17,,,0,,0,3,14,,159,22,78,30,30,59,,,,36,58,31,,28,,2,,1,,,0,76,20
File,"AbstractIndexHandler.java",AbstractIndexHandler.java,6,0,6,0,2,,,,,1,1,0,3,,,,3,2,0,,,,3,,,0,,0,0,3,,58,7,28,14,9,23,,,,17,23,14,,10,,3,,2,,,0,82,5
File,"AbstractJoinTaskDispatcher.java",AbstractJoinTaskDispatcher.java,26,1,21,4,5,,,,,1,0,0,5,,,,6,6,1,,,,6,,,0,,0,2,4,,186,14,129,51,68,43,,,,63,97,49,,60,,7,,5,,,0,33,25
File,"AbstractMapJoinOperator.java",AbstractMapJoinOperator.java,9,1,8,0,1,,,,,1,0,1,7,,,,7,7,5,,,,7,,,0,,0,3,4,,120,20,75,40,33,26,,,,42,54,33,,25,,3,,1,,,0,35,10
File,"AbstractMapJoinTableContainer.java",AbstractMapJoinTableContainer.java,4,0,4,0,1,,,,,1,1,2,4,,,,4,3,1,,,,4,,,0,,0,3,1,,51,8,25,14,9,18,,,,14,19,13,,7,,1,,0,,,0,72,4
File,"AbstractOperatorDesc.java",AbstractOperatorDesc.java,4,0,4,0,1,,,,,1,0,0,11,,,,11,11,5,,,,11,,,0,,0,0,11,,87,17,53,30,13,17,,,,20,32,21,,11,,1,,0,,,0,32,11
File,"AbstractOutputFormat.java",AbstractOutputFormat.java,12,1,11,0,2,,,,,1,0,0,1,,,,4,4,0,,,,4,,,3,,0,0,1,,50,8,17,8,8,25,,,,11,14,8,,7,,2,,1,,,1,47,2
File,"AbstractParquetMapInspector.java",AbstractParquetMapInspector.java,10,1,9,0,3,,,,,1,0,0,13,,,,13,13,2,,,,13,,,0,,0,0,13,,173,26,134,48,68,13,,,,57,90,37,,58,,10,,2,,,0,10,33
